魚,魚の名前
Ray,エイ
Bonito,カツオ
Salmon,鮭(さけ)
Mackerel,鯖(さば)
Shark,鮫(さめ)
Saury,秋刀魚(さんま)
Sea bream,鯛(たい)
Herring,ニシン
Puffer,ふぐ
Tuna,マグロ
Squid,イカ
Lobster,伊勢エビ
Shrimp,エビ
Sea flower,イソギンチャク
Moray,ウツボ
Sea urchin,ウニ
Eel,うなぎ
Club,蟹(かに)
Freshwater fish,川魚
jellyfish,クラゲ
Carp,鯉(コイ)
Octpus,タコ
Sea horse,タツノオトシゴ
Porcupine fish,ハリセンボン
Star fish,ヒトデ
Trout,マス
Ricefish, メダカ
Coelacanth, シーラカンス
